텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
"고객님, 소중한 예약이 요청 완료되었습니다.  ▶예약번호: #{예약번호} ▶요청 서비스: #{요청 서비스} ▶주소: #{주소}  빠른 시일 내 상담원이 예약 관련 안내드릴 예정입니다.  *주말/공휴일은 상담이 진행되지 않습니다.",예약,예약완료,예약 요청 완료,JOBER0529_1643014719735,자세히 확인하기,,서비스업,예약,,,
[설명회 예약 완료]  2022년도 설명회 예약이 되셨습니다.  ▶일시: #{일시} ▶주소: #{주소}  문의는 아래를 눌러 주세요. 감사합니다.,예약,예약완료,설명회 예약 완료,JOBER0529_1642989079191,자세히 확인하기,,교육,예약,,,
"고객님, 예매가 완료 되었습니다.  ▶상품명: #{상품명} ▶예매일자: #{예매일자} ▶예매번호: #{예매번호}",예약,예약완료,예매 완료 안내,JOBER0529_1642989858115,자세히 확인하기,,공연/문화,예약,,,
강의가 예약되었습니다.  ▶예약 날짜와 시간: #{예약 날짜와 시간} ▶강사 이름: #{강사 이름} 님  감사합니다.,예약,예약완료,예약 완료,JOBER0529_1643014658408,자세히 확인하기,,교육,예약,,,
"고객님, 확정된 예약 정보를 확인해 주세요.  ▶요청 서비스: #{요청 서비스} ▶서비스 일시: #{서비스 일시} ▶담당: #{담당}  서비스 취소를 원하신다면 아래의 예약확인을 통해 취소 신청 부탁드립니다.",예약,예약상태,예약 확정,JOBER0529_1643014699200,자세히 확인하기,,서비스업,예약,,,
시험장 사용신청 예약이 승인되었습니다.  ▶예약번호 : #{예약번호} ▶시험자 : #{시험자} ▶시험 일자 : #{시험 일자} ▶예약 시험장 : #{예약 시험장},예약,예약완료,[예약 완료 안내},JOBER0529_1643014630128,자세히 확인하기,,교육,예약,,,
#{수신자명}님의 사전등록이 취소 되었습니다.  ▶예약자 : #{예약자} ▶사전등록물품 : #{사전등록물품}  을 이용해주셔서 감사합니다.,예약,예약취소,사전등록 취소,JOBER0529_1642728014824,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 요청하신 방문 예약이 #{취소 사유}로 인하여 거절되었습니다.  ▶예약 장소 : #{예약 장소} ▶일시 #{취소일시}  다시 예약하시려면 아래를 클릭해 주세요.",예약,예약취소,방문 예약 취소 안내,JOBER0529_1642728538190,자세히 확인하기,,서비스업,예약,,,
"안녕하세요, 발신 스페이스입니다. 내일 주소에 매니저명 매니저님이 방문 드려 서비스 예정입니다.  문의사항은 아래 버튼을 클릭해 주세요.",서비스이용,방문서비스,방문 예정 안내,JOBER0529_1642743562252,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 서비스 시작 #{분} 전 입니다. 서비스 내용을 확인해주세요.  <신청 내역> ▶사용 서비스: #{사용 서비스} ▶서비스 금액: #{서비스 금액}  문의사항은 아래 버튼을 클릭해 주세요.",서비스이용,신청접수,서비스 일정 안내,JOBER0529_1642743608340,자세히 확인하기,,서비스업,공지/안내,,,
"#{수신자명}님, 환영합니다. #{발신 스페이스}일차 일정 안내드리겠습니다.  ▶참석일 : #{참석일} (코로나 결과 확인 후 출근) ▶장소 : #{장소} ▶준비물 : 신분증, 통장 사본(사진 가능)",서비스이용,이용안내/공지,일정 안내,JOBER0529_1642988450322,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요, #{수신자명}님, 아래 서비스가 취소되었습니다.  <예약 내역> ▶서비스명: #{서비스명} ▶서비스 날짜/시간 : #{서비스 날짜/시간} ▶서비스 금액: #{서비스 금액}  문의사항은 아래를 클릭해 주세요.",예약,예약취소,서비스 취소 안내,JOBER0529_1642990862158,자세히 확인하기,,서비스업,예약,,,
"안녕하세요, #{수신자명}님, 일정 취소 안내드립니다.  ▶일정: #{일정} ▶날짜/시간: #{날짜/시간}  일정에 착오 없으시길 바랍니다.  문의사항은 아래를 클릭해 주세요.",예약,예약취소,일정 취소 안내,JOBER0529_1642990902557,자세히 확인하기,,기타,공지/안내,,,
"고객님, 예약하신 서비스가 내일 진행될 예정입니다. 원활한 서비스 진행을 위해 서비스 일정과 주소를 다시 한번 확인해 주세요.  ▶일정: #{일정} ▶주소: #{주소}  감사합니다.",서비스이용,이용안내/공지,서비스 알림,JOBER0529_1643014796040,자세히 확인하기,,서비스업,예약,,,
"고객님 스페이스입니다.  이 미결제로 인해 예약이 완료되지 않았습니다.  자세한 예약 내역을 확인하시려면 아래 ""내역 확인하기"" 버튼을 눌러주세요.",예약,예약상태,결제 요청 안내,JOBER0529_1643091195749,자세히 확인하기,,서비스업,예약,,,
"고객님, 예매가 취소되었습니다. ▶예매 상품명: #{예매 상품명} ▶예매번호 : #{예매번호} ▶취소일자: #{취소일자}  예약내역을 보시러면 아래 버튼을 클릭해주세요. 감사합니다.",예약,예약취소,예매 취소 안내,JOBER0529_1642743517077,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 예약이 확정 처리되었습니다.  [예약정보] - 예약자명 : #{예약자명} - 예약일자 : #{예약일자} - 주소 : #{주소}  [코로나19 출입 안내사항] 출입 시 발열검사 및 코로나 문진을 시행합니다.  출입에 대기가 발생할 수 있으므로 예약 시간 10분 전까지 미리 방문해 주시길 부탁드립니다.  자세한 정보는 아래의 버튼을 누르시면 확인하실 수 있습니다.",서비스이용,이용안내/공지,예약 확정 안내,JOBER0529_1656053044514,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 고객님이 신청하신 #{예약명}이 #{예약상태} 상태입니다.  ▶ 예약명 : #{예약명} ▶ 예약일정 : #{예약일정}  자세한 내용을 확인하시려면 아래 버튼을 눌러주세요.",예약,예약상태,예약 상태 안내,JOBER0529_1656053121245,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 고객님의 예약이 취소되었습니다.  ▶ 예약명 : #{예약명} ▶ 예약 번호 : #{예약 번호} ▶ 취소 사유 : #{취소 사유}  감사합니다.",예약,예약취소,예약 취소 안내,JOBER0529_1656053329898,자세히 확인하기,,서비스업,예약,,,
안녕하세요 #{수신자명}님입니다. 입금 마감 시간까지 예약금이 입금되지 않아 예약이 취소되었습니다. 재예약을 원하실 경우 홈페이지에서 다시 예약 부탁드립니다.  감사합니다.,예약,예약취소,예약 취소 알림,JOBER0529_1655797774049,자세히 확인하기,,서비스업,예약,,,
#{수신자명}님 안녕하세요. 오늘은 예약하신 진료일입니다.  ▶ 진료 일시 : #{진료 일시}  예약 변경을 원하시면 아래 전화로 연락 부탁드립니다. #{전화 번호},예약,예약완료,금일 진료 예약 안내,JOBER0529_1655976825874,자세히 확인하기,,서비스업,예약,,,
안녕하세요. #{수신자명} 고객님. 배정된 상담원이 변경되어 안내드립니다. 빠른 시일 내에 연락드리겠습니다.  ▶ 배정 상담원 안내 - 이름 : #{상담원명} - 전화번호 : #{전화번호}  감사합니다.,서비스이용,방문서비스,상담원 변경 안내,JOBER0529_1655977006745,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. #{수신자명}님, #{발신 스페이스}입니다.  #{수신자명}님의 예약이 변경되었습니다. ▶ 변경 예약 일시 : #{변경 예약 일시}  감사합니다.",예약,예약상태,예약 변경 안내,JOBER0529_1655977065217,자세히 확인하기,,서비스업,예약,,,
#{수신자명}님의 영상상담이 예약되었습니다. 아래 예약 정보를 확인해주세요.  ▶ 예약자명 : #{예약자명} ▶ 상담일시 : #{상담일시} ▶ 전화번호 : #{전화번호}  예약된 시간에 맞춰 상담에 참여해주시기 바랍니다. 감사합니다.,예약,예약완료,영상상담 예약안내,JOBER0529_1655976704547,자세히 확인하기,,서비스업,예약,,,
#{수신자명}님의 전화상담이 예약되었습니다. 아래 예약 정보를 확인해주세요.  ▶ 예약자명 : #{예약자명} ▶ 상담일시 : #{상담일시} ▶ 전화번호 : #{전화번호}  상담일시에 #{상담번호} 번호로 상담 진행해주세요. 감사합니다.,예약,예약완료,전화상담 예약안내,JOBER0529_1655976746753,자세히 확인하기,,서비스업,예약,,,
진료 예약이 완료되었습니다.  ▶ 성명 : #{성명} ▶ 진료 일시 : #{진료 일시}  예약일에 내원이 어려우신 경우 다른 환자 분들을 위해 전화 부탁드립니다.  [진료 시간 안내] #{진료 시간},예약,예약완료,진료 예약 안내,JOBER0529_1655976788376,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, #{예약일} 은 고객님 예약일입니다. 예약시간 변경 시 미리 연락주시기 바랍니다.  감사합니다.",예약,예약완료,예약 알림,JOBER0529_1656053464609,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 변경된 예약 정보 안내해 드립니다.  ▶ 예약자 : #{예약자} ▶ 이전 예약일 : #{이전 예약일} ▶ 예약 변경일시 : #{예약 변경일시}  예약 취소 또는 변경사항이 있으실 경우 아래의 번호로 연락 부탁드립니다.  ▶ 문의 : #{문의}",예약,예약완료,예약 변경,JOBER0529_1656221076935,자세히 확인하기,,서비스업,예약,,,
"안녕하세요. #{수신자명} 고객님. 신청하신 상담의 상담원이 배정되었습니다. 상담원 변경을 원하실 경우, 연락 부탁드립니다.  <배정 상담원 안내> ▶ 상담원 : #{상담원} ▶ 전화번호 : #{전화번호}  고객님의 상담을 위하여 빠른 시일 내에 전화 드릴 예정입니다. 감사합니다.",서비스이용,방문서비스,상담원 배정 안내,JOBER0529_1656224147368,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}고객님. 상담이 정상적으로 신청되었으며, 문의주셨던 상담에 만족할 수 있도록 항상 최선을 다하겠습니다.  ▶ 상담 일정 : #{상담 일정} ▶ 상담사 : #{상담사} ▶ 문의 내용 : #{문의 내용}  추가 궁금하신 문의사항은 대표번호로 연락 주시거나 홈페이지를 통해 문의 내용 남겨주시면 최대한 빠르게 답변드리겠습니다.  감사합니다.",서비스이용,신청접수,상담 예약 안내,JOBER0529_1656220947836,자세히 확인하기,,서비스업,신청,,,
#{수신자명}님. 발신 스페이스입니다. 예약일 #{일자}에 미내원이십니다. 문의 후 내원 부탁드립니다.  ▶ 예약 문의 : #{예약 문의} ▶ 오시는 길 : #{오시는 길}  감사합니다. - 발신 스페이스 -,서비스이용,방문서비스,미내원 안내,JOBER0529_1656221020780,자세히 확인하기,,서비스업,예약,,,
"#{수신자명}님 안녕하세요 현재 고객님의 아래 주문 건의 결제가 진행되지 않아 '연체 대기' 상태가 되었습니다.  ▶ 주문번호 : #{주문번호} ▶ 상품명 : #{상품명} ▶ 결제금액 : #{결제금액}원 ▶ 결제 기한일 : #{결제 기한일}  결제 기한이 마감될 때까지 결제가 완료되지 않을 경우, '연체' 상태로 변경되오니 결제 기한일까지 확인 부탁드립니다.",배송,배송상태,연체 대기,JOBER0529_1656220921731,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명}님, 인증이 정상적으로 처리 되었습니다. 감사합니다.",서비스이용,이용안내/공지,인증안내,JOBER0529_1638770390583,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 탈퇴 처리가 완료되었습니다. 지금까지 이용해주셔서 감사합니다.",회원,회원가입,회원 탈퇴 완료,JOBER0529_1638770424573,자세히 확인하기,,기타,회원 관리,,,
"안녕하세요 #{수신자명}님,  고객정보 변경이 정상적으로 완료되었습니다. 변경내용을 다시 한 번 확인하시고 오늘도 즐거운 하루 되세요.  감사합니다.",서비스이용,이용안내/공지,정보 수정 완료 안내,JOBER0529_1638780149082,자세히 확인하기,,서비스업,회원 관리,,,
인증 비빌번호 Key : #{인증Key},회원,회원가입,본인인증,JOBER0529_1638780195504,자세히 확인하기,,기타,기타,,,
"안녕하세요 #{수신자명}님, 고객님의 예약 정보를 안내해드립니다.  ▶ 예약자명: #{예약자명} ▶ 예약일시: #{예약일시} ▶ 관련문의: #{관련문의} ▶ 주소: #{주소}  변경사항이 있으신 경우 24시간 전까지 연락 부탁드리며,  예약시간에 늦지 않게 방문 부탁드립니다.  감사합니다.",예약,예약완료,예약 안내,JOBER0529_1656053946193,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, #{수신자명}님의 예약이 취소되었습니다.  ▶ 예약명 : #{예약명} ▶ 취소된 예약 일시 : #{예약 일시}  편하신 시간에 연락 주시면 예약 도와드리겠습니다. 감사합니다.",예약,예약취소,예약 취소,JOBER0529_1656219580641,자세히 확인하기,,서비스업,예약,,,
안녕하세요.  #{수신자명}님 예약 일정이 변경 되어 안내해 드립니다. 변경된 일정을 확인하시고 착오 없으시기 바랍니다.  <예약 시간 안내> ▶ 변경 전 예약 시간 : #{변경 전 예약 시간} ▶ 변경 된 예약 시간 : #{변경 된 예약 시간}  예약 시간을 변경하시고 싶으신 경우에는 고객센터 또는 홈페이지에 문의 부탁드립니다. 감사합니다.,예약,예약완료,스케줄 변동 알림,JOBER0529_1656219614591,자세히 확인하기,,서비스업,예약,,,
#{수신자명} 회원님이 신청하신 #{서비스} 접수가 완료되어 일정 및 참여 방법 안내드립니다.  ▶ 참여자 : #{참여자} ▶ 일정 : #{일정} ▶ 참여 방법 : #{참여 방법}  참여 방법에 대한 자세한 내용은 홈페이지에서 확인해주세요.,서비스이용,신청접수,접수 완료 안내,JOBER0529_1656220830828,자세히 확인하기,,기타,신청,,,
"#{수신자명}님, 안녕하세요입니다. 참여해 주신 체험단에 선정되어 안내해 드립니다.  ▶ 체험 일정 : #{체험 일정} ▶ 체험 내용 : #{체험 내용}  체험 일정과 내용을 확인하시고, 즐거운 시간 되시길 바랍니다.  체험 후 만족스러우셨으면, 홈페이지에 후기를 남겨주세요. 감사합니다.",서비스이용,이용안내/공지,체험 신청 완료,JOBER0529_1656220896747,자세히 확인하기,,기타,공지/안내,,,
#{수신자명}님의 인증번호는 #{인증번호}입니다. 본인 확인을 위해 인증번호를 화면에 입력해 주세요.  ▶ 고객센터 안내 #{고객센터 전화번호} (평일 및 토요일 오전 9시 ~ 오후 6시),서비스이용,이용안내/공지,본인 인증,JOBER0529_1638770286662,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요 #{수신자명}님. 고객님의 회원정보가 변경되어 안내드립니다.  ▶이전 회원정보: #{이전 회원정보} ▶변경된 회원정보: #{변경된 회원정보}  회원정보를 확인하시고 본인이 변경하지 않았다면 문의 부탁드립니다.,회원,회원가입,회원정보 변경 안내,JOBER0529_1642751030321,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명} 고객님, 입니다. 요청하신 수신거부 관련 처리 결과를 안내드립니다.  ▶처리 날짜: #{처리 날짜} ▶처리 내용: #{처리 내용}  감사합니다.",서비스이용,이용안내/공지,수신 거부 처리 완료,JOBER0529_1642750626753,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 임시 비밀번호가 발급되었습니다.  ▶아이디: #{아이디} ▶임시 비밀번호: #{임시 비밀번호}  로그인 후, 새로운 비밀번호로 변경해 주시기 바랍니다. 감사합니다.",회원,회원가입,임시 비빌번호 발급,JOBER0529_1642750654850,자세히 확인하기,,서비스업,회원 관리,,,
"#{수신자명}님, 인증번호 [#{인증번호}]를 입력하시고 본인확인을 완료해 주시기 바랍니다.  ▶요청 매장 : #{요청 매장}  ※ 인증번호가 타인에게 노출되지 않도록 주의해 주시기 바랍니다. ※ 본인이 요청한 작업이 아니라면 상담원에게 메시지를 남겨주시기 바랍니다.",회원,회원가입,인증번호 안내,JOBER0529_1642750686641,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 아래와 같이 고객님의 비밀번호가 변경되었음을 안내드립니다.  ▶아이디 : #{아이디} ▶비밀번호 : #{비밀번호}  ※ 해당 개인 정보가 유출되지 않도록 주의 부탁드립니다.  감사합니다.",회원,회원가입,변경 비밀번호 안내,JOBER0529_1642750772346,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요, #{수신자명}고객님. 배송비 무료 쿠폰이 지급되었습니다. 보유한 쿠폰의 사용가능일자를 안내드리니, 쿠폰을 사용해보세요.  ▶ 쿠폰명 : #{쿠폰명} ▶ 쿠폰 유효기간 : #{쿠폰 유효기간} ▶ 쿠폰 사용방법 : #{쿠폰 사용방법}  ※ 쿠폰 유효기간이 지나면 사용이 불가합니다. ※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",쿠폰/포인트,쿠폰발급,무료배송 쿠폰 발급 안내,JOBER0529_1655973299144,자세히 확인하기,,소매업,쿠폰,,,
"안녕하세요, #{수신자명}고객님. 첫 구매를 완료해주신 고객님께 구매 감사 쿠폰이 지급되었습니다. 지급된 쿠폰의 유효기간 및 사용 방법 안내드립니다.  ▶ 쿠폰명 : #{쿠폰명} ▶ 쿠폰 유효기간 : #{쿠폰 유효기간} ▶ 쿠폰 사용방법 : #{쿠폰 사용방법}  ※ 쿠폰 유효기간이 지나면 사용이 불가합니다. ※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",쿠폰/포인트,쿠폰발급,구매 감사 쿠폰 발급 안내,JOBER0529_1655973504662,자세히 확인하기,,소매업,쿠폰,,,
결제수단이 등록되었습니다.  ▶ 회원명 : #{회원명} ▶ 등록 결제수단 : #{등록 결제수단}  본인이 아니시면 #{고객센터번호}로 문의해 주세요.,서비스이용,이용안내/공지,결제 수단 등록,JOBER0529_1655973696110,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요. #{수신자명} 고객님. 가입을 감사드리며, 이용 안내해 드립니다.  ▶ 아이디 : #{아이디} ▶ 이용 시간 : #{이용 시간} ▶ 문의 시간 : #{문의 시간}  상세한 내용은 홈페이지에서 확인해주세요. 감사합니다.",서비스이용,이용안내/공지,가입 알림,JOBER0529_1656223782723,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명}님, 회원 탈퇴 처리가 완료되었습니다.  ▶ 아이디 : #{아이디}  그동안 이용해주셔서 감사합니다.",회원,회원가입,회원 탈퇴 안내,JOBER0529_1656221640359,자세히 확인하기,,서비스업,회원 관리,,,
"비밀번호가 변경되었습니다.  ▶ 아이디 : #{아이디}  본인이 아닌 경우, 연락 부탁드립니다.  ▶ 연락처 : #{연락처}",회원,회원가입,비밀번호 변경 안내,JOBER0529_1656221736737,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명} 고객님. 지금 변경된 등급을 확인하고, 주요 혜택 확인해보세요!  ▶ #{월}월 회원 등급 : #{회원 등급}  등급별로 다양한 회원 혜택을 확인해 보세요.  ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,등급 안내,JOBER0529_1656221772934,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명} 고객님, 고객님의 월 등급이 상향되었습니다.  ▶ 등급 : #{등급}  지금 바로 등급 혜택을 확인해 보세요!  고객센터 : #{고객센터}  ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,등급 혜택 안내,JOBER0529_1656221800097,자세히 확인하기,,서비스업,공지/안내,,,
"임시 비밀번호는 #{발신 스페이스}입니다. 로그인 후, 사용하실 비밀번호로 변경해주세요.  ※ 비밀번호를 변경하지 않으실 경우 개인정보에 위험이 있습니다.",회원,회원가입,임시 비빌번호 발급 안내,JOBER0529_1656224302568,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, #{수신자명}님께서 제품을 구매하시면서 신청하신 혜택이 도착했습니다! 혜택을 확인하시고 이용해보세요.  ▶ 아이디 : #{아이디} ▶ 혜택 : #{혜택} ▶ 사용기한 : #{사용기한}  ※ 이 메시지는 고객님의 혜택 신청에 의해 발송되는 혜택 안내 메시지입니다.",구매,구매완료,혜택 안내,JOBER0529_1656305210642,자세히 확인하기,,소매업,공지/안내,,,
인증 번호 안내해 드립니다.  아래 인증 번호를 입력해주세요.  ▶ 인증 번호 : #{인증 번호},회원,회원가입,인증 번호 알림1,IBWINGO3940_16562216062801,상세보기,,기타,공지/안내,,,
안녕하십니까. #{과정명} 모집을 안내드립니다.  ■ 대상 : - #{대상}   ■ 일시 : #{일시} ■ 모집 : #{모집} ■ 교육비 : #{교육비}  #{추가 메시지 - 자세한 내용은 하단 링크를 통해 보실 수 있습니다}  *교육 모집 알림을 신청하신 분들께 발송되는 메시지입니다.,서비스이용,이용안내/공지,(전용) 교육 공지 안내 / 대한드론협회,c0021_edu_info_non_02,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 수신자님께서 신청하신 이달의 세미나를 안내드립니다.  ▶ 세미나명: #{세미나명} ▶ 진행 일정: #{진행일정}  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 자버에서 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 세미나 정보 안내_이미지형_03,semina_info_img_03,샘플 문서 확인하기,,교육,공지/안내,,,
"안녕하세요, #{수신자}님! 뷰티 콘텐츠를 전달드립니다.  ▶ #{제목}  * 회원 대상 뷰티 콘텐츠 전달을 요청하신 분들께 발송된 메시지입니다.  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3.에서 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 회원 정보 안내_이미지형_03,member_info_img_03,샘플 문서 확인하기,,서비스업,공지/안내,,,
"안녕하세요, #{수신자}님! #{발신 스페이스}입니다.  서비스 소개 및 담당자 연락처 전달드립니다. 아래 문서 확인 후 응답 부탁드립니다.  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 자버에서 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 서비스 안내_이미지형_03,company_info_img_03,샘플 문서 확인하기,,서비스업,공지/안내,,,
"안녕하세요, #{수신자}님! 특강 신청 안내드립니다.  ▶ 특강명: #{특강명} ▶ 진행 일정: #{진행일정}  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 특강 신청 안내_이미지형_03,class_regi_img_03,샘플 문서 확인하기,,교육,신청,,,
"안녕하세요, #{수신자}님! 뷰티 콘텐츠를 전달드립니다.  ▶ #{제목}  * 회원 대상 뷰티 콘텐츠 전달을 요청하신 분들께 발송된 메시지입니다.  직접 입력한 메시지: #{추가 메시지 - 아래 버튼 클릭 후 확인해 주세요!}  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 직접 무료로 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 회원 정보 안내_이미지형_01,member_info_img_01,샘플 문서 확인하기,,서비스업,회원 관리,,,
"안녕하세요, #{수신자}님. #{발신 스페이스} 입니다.  수강료 미납 관련 안내드립니다. - 미납월 : #{미납월}월 - 미납 금액 : #{미납금액}  #{추가 메시지 - 문의는 고객센터로 부탁드립니다.}",법적고지,주문/예약,(공용) 수강료 미납 안내_이미지형_01,msg_edu_fee_img_01,X,,교육,공지/안내,,,
"안녕하세요, #{수신자명}님. #{발신 스페이스}입니다. 고객님의 회원 등급이 변경되었습니다.  - 기존 등급: #{기존 등급} - 변경 등급: #{변경 등급}  앞으로도 많은 이용 부탁드립니다.",회원,회원가입,(공용) 회원 등급 변경_이미지형_02,msg_membership_upgrade_img_02,X,,서비스업,회원 관리,,,
"안녕하세요, 입실 관련 안내드립니다.  - 입실시간: #{입실시간} - 안내사항: #{안내사항}  #{추가 메시지 - 편안하고 즐거운 숙박 되시길 바랍니다.}",서비스이용,이용안내/공지,(공용) 숙소 입실 안내_이미지형_03,link_room_access_img_01,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요, 입실 관련 안내드립니다.  - 입실시간: #{입실시간} - 안내사항: #{안내사항}  #{추가 메시지 - 편안하고 즐거운 숙박 되시길 바랍니다.}",서비스이용,이용안내/공지,(공용) 숙소 입실 안내_이미지형_02,msg_room_access_img_02,X,,서비스업,공지/안내,,,
"#{수신자명}님, 안녕하세요. 문의하신 내용에 대한 답변이 완료되었습니다.  #{추가 메시지 - 문의는 고객센터로 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 문의 답변 완료_이미지형_02,link_qna_reply_img_02,답변 확인,,서비스업,공지/안내,,,
"안녕하세요, #{수신자명} 고객님. #{발신 스페이스}입니다.  고객님께서 대여하신 #{차량번호} 차량의 대여가 완료되었습니다. 안전 운전하시고, 즐거운 여행 되시길 바랍니다.  #{추가 메시지 - 안전 운전하시고, 즐거운 여행 되시길 바랍니다.}",서비스이용,방문서비스,(공용) 차량 대여 완료_이미지형_02,msg_rental_confirmed_img_02,X,,서비스업,공지/안내,,,
"안녕하세요, #{수신자명}님. 예방접종 예약 관련하여 안내드립니다.  - 예약일: #{예약일} - 예방접종: #{종류}  #{추가 메시지 - 변경이나 추가 문의 사항은 본원으로 연락 주시기 바랍니다.}",예약,예약완료,(공용) 병원 예방접종 안내_이미지형_02,msg_hospital_vaccin_img_02,X,,서비스업,예약,,,
"안녕하세요, 발신 스페이스입니다. 고객님의 주문이 정상적으로 완료되었습니다.  - 주문 상품: 상품명  추가 메시지 - 문의는 고객센터로 부탁드립니다.",구매,구매완료,(공용) 주문 완료 알림_이미지형_01,link_order_complete_img_02,주문 내역 확인,,소매업,공지/안내,,,
"#{수신자명} 고객님, 안녕하세요. 주문하신 상품이 정상적으로 발송되어 현재 배송 중입니다.  택배사명: #{택배사명} 송장번호: #{송장번호}  #{추가 메시지 - 문의는 고객센터로 부탁드립니다.}",배송,배송상태,(공용) 배송현황안내_배송중_이미지형_02,link_parcel_tracking_img_02,X,,소매업,공지/안내,,,
"안녕하세요, #{수신자}님. 신청하신 일정을 확인해 주세요!  ▶︎일정 : #{일정}  #{추가 메시지 - 아래 버튼 클릭 후 자세히 확인하세요.}",서비스이용,이용안내/공지,(공용) 커피챗 일정 안내_이미지형_01,coffee_noti_img_01,자세히 확인하기,,기타,공지/안내,,,
안녕하세요! 발신 스페이스입니다. 회원님의 PT 결과를 안내드립니다.  ► 기간: #{기간} ► 결과: #{결과}  #{추가 메시지 - 꾸준한 노력으로 만들어낸 인바디 변화를 확인해 보세요.},서비스이용,이용안내/공지,(공용) PT 결과 안내_이미지형_01,pt_result_img_01,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요, #{수신자} 회원님. 작은마케팅클리닉 커피챗 일정을 확인해 주세요!  ▶︎ #{제목}  *일정 알림을 신청하신 분들께 발송되는 메시지입니다.  #{추가 메시지 - 아래 버튼 클릭 후 확인해 주세요!}",서비스이용,방문서비스,(전용) 커피챗 일정 안내_이미지형_01 / 작마클,c0013_coffee_noti_img_01,확인하기,,서비스업,공지/안내,,,
